Year,Disaster_Type,Total_Economic_Damage_Share_GDP,Countries_With_Data,Total_Countries_In_Year
1974,Drought,2.72246612423,15,40
1974,Flood,6.842494564999999,18,40
1974,Earthquake,0.039100244,8,40
1974,Extreme weather,58.371426647839996,16,40
1974,Extreme temperature,0.0,0,40
1974,Volcanic activity,0.0,0,40
1974,Wildfire,0.0,0,40
1974,Glacial lake outburst flood,0.0,0,40
1974,Dry mass movement,0.0,0,40
1974,Wet mass movement,0.00299250448,8,40
1975,Drought,2.1477275935,13,43
1975,Flood,1.2968345404000001,14,43
1975,Earthquake,0.03905961596,9,43
1975,Extreme weather,1.1495885867999998,19,43
1975,Extreme temperature,0.072004416,4,43
1975,Volcanic activity,0.0,5,43
1975,Wildfire,0.0,0,43
1975,Glacial lake outburst flood,0.0,0,43
1975,Dry mass movement,0.0,0,43
1975,Wet mass movement,0.0,8,43
1976,Drought,1.03561187082,11,44
1976,Flood,4.0012184517,17,44
1976,Earthquake,30.908939470999997,17,44
1976,Extreme weather,2.4378255867,22,44
1976,Extreme temperature,0.0,0,44
1976,Volcanic activity,0.003699764066,8,44
1976,Wildfire,0.0,3,44
1976,Glacial lake outburst flood,0.0,0,44
1976,Dry mass movement,0.0,0,44
1976,Wet mass movement,0.33791384,9,44
1977,Drought,6.478474972999999,18,49
1977,Flood,1.017216917066,29,49
1977,Earthquake,3.688107663715,11,49
1977,Extreme weather,19.20945880357,18,49
1977,Extreme temperature,0.22090746,3,49
1977,Volcanic activity,0.0036637309,4,49
1977,Wildfire,0.002031566744,3,49
1977,Glacial lake outburst flood,0.0,0,49
1977,Dry mass movement,0.0,0,49
1977,Wet mass movement,0.01253222448,8,49
1978,Drought,8.3685022613,16,50
1978,Flood,3.9107624261500002,31,50
1978,Earthquake,0.7573990079999999,10,50
1978,Extreme weather,10.8987531215,23,50
1978,Extreme temperature,0.0,3,50
1978,Volcanic activity,0.0,3,50
1978,Wildfire,0.0,3,50
1978,Glacial lake outburst flood,0.0,0,50
1978,Dry mass movement,0.0,0,50
1978,Wet mass movement,0.0,4,50
1979,Drought,1.157906339,15,54
1979,Flood,0.6954730601100001,26,54
1979,Earthquake,0.19909840929999997,13,54
1979,Extreme weather,98.7629642495,21,54
1979,Extreme temperature,0.0007871552,4,54
1979,Volcanic activity,0.0,7,54
1979,Wildfire,1.15729349424,3,54
1979,Glacial lake outburst flood,0.0,0,54
1979,Dry mass movement,0.0,0,54
1979,Wet mass movement,0.011949996248,10,54
1980,Drought,0.4686728295,24,59
1980,Flood,1.4197544402,24,59
1980,Earthquake,30.44059833337,17,59
1980,Extreme weather,109.02848843,26,59
1980,Extreme temperature,0.109648466,5,59
1980,Volcanic activity,0.047148839399999996,5,59
1980,Wildfire,0.0,3,59
1980,Glacial lake outburst flood,0.0,0,59
1980,Dry mass movement,0.0,3,59
1980,Wet mass movement,0.0,6,59
1981,Drought,2.75809271,25,62
1981,Flood,1.18060600657,27,62
1981,Earthquake,2.8627094565149998,13,62
1981,Extreme weather,7.439561335199998,28,62
1981,Extreme temperature,0.0,4,62
1981,Volcanic activity,0.0,3,62
1981,Wildfire,0.0,5,62
1981,Glacial lake outburst flood,0.0,0,62
1981,Dry mass movement,0.0,0,62
1981,Wet mass movement,0.0,11,62
1982,Drought,1.8183470205274999,32,65
1982,Flood,19.06055469764,34,65
1982,Earthquake,0.215243846336,14,65
1982,Extreme weather,47.6029303694,26,65
1982,Extreme temperature,0.0,6,65
1982,Volcanic activity,0.257366736,4,65
1982,Wildfire,0.0,5,65
1982,Glacial lake outburst flood,0.0,0,65
1982,Dry mass movement,0.0,2,65
1982,Wet mass movement,0.20277589029999998,14,65
1983,Drought,20.375912781,52,91
1983,Flood,9.417047153087001,34,91
1983,Earthquake,2.4304262107000008,21,91
1983,Extreme weather,49.509712967140004,29,91
1983,Extreme temperature,0.0,5,91
1983,Volcanic activity,0.22661632569999998,9,91
1983,Wildfire,28.540698134500005,11,91
1983,Glacial lake outburst flood,0.0,0,91
1983,Dry mass movement,0.0,5,91
1983,Wet mass movement,7.059686034,16,91
1984,Drought,0.308524648,31,74
1984,Flood,1.4605706004,29,74
1984,Earthquake,0.01901203664,12,74
1984,Extreme weather,21.534229736,27,74
1984,Extreme temperature,0.0,3,74
1984,Volcanic activity,0.0,9,74
1984,Wildfire,0.001215492051,9,74
1984,Glacial lake outburst flood,0.0,0,74
1984,Dry mass movement,0.0,0,74
1984,Wet mass movement,0.056673955670000005,10,74
1985,Drought,0.15751997140000001,22,75
1985,Flood,3.3510942550199996,36,75
1985,Earthquake,10.886958768870002,17,75
1985,Extreme weather,141.97432805971002,31,75
1985,Extreme temperature,0.08027587580000001,11,75
1985,Volcanic activity,2.924931822,4,75
1985,Wildfire,0.3745009177,14,75
1985,Glacial lake outburst flood,0.0,0,75
1985,Dry mass movement,0.0,5,75
1985,Wet mass movement,0.0,7,75
1986,Drought,0.0206390558,9,63
1986,Flood,7.144252762570002,39,63
1986,Earthquake,41.380792510551,18,63
1986,Extreme weather,20.132885294700003,32,63
1986,Extreme temperature,0.063705311,5,63
1986,Volcanic activity,0.0,5,63
1986,Wildfire,0.0,8,63
1986,Glacial lake outburst flood,0.0,0,63
1986,Dry mass movement,0.0,0,63
1986,Wet mass movement,0.0,8,63
1987,Drought,0.0,17,69
1987,Flood,18.662478183999998,41,69
1987,Earthquake,11.462621281099999,15,69
1987,Extreme weather,43.31657820880001,33,69
1987,Extreme temperature,0.0,10,69
1987,Volcanic activity,0.0,4,69
1987,Wildfire,0.1365083871,10,69
1987,Glacial lake outburst flood,0.0,0,69
1987,Dry mass movement,0.001370152391,3,69
1987,Wet mass movement,0.10067850529,13,69
1988,Drought,1.5020455124999998,24,80
1988,Flood,11.152701369299999,52,80
1988,Earthquake,2.4971747100000004,17,80
1988,Extreme weather,49.39894956765,31,80
1988,Extreme temperature,0.0003585944435,8,80
1988,Volcanic activity,0.0,6,80
1988,Wildfire,0.0,0,80
1988,Glacial lake outburst flood,0.0,0,80
1988,Dry mass movement,0.0,5,80
1988,Wet mass movement,0.0,16,80
1989,Drought,0.2041424265,15,68
1989,Flood,1.7674759956,40,68
1989,Earthquake,1.7975248140000002,15,68
1989,Extreme weather,71.81680709656999,34,68
1989,Extreme temperature,0.0,6,68
1989,Volcanic activity,0.0,3,68
1989,Wildfire,0.8271745561999999,5,68
1989,Glacial lake outburst flood,0.0,0,68
1989,Dry mass movement,0.0,5,68
1989,Wet mass movement,0.01973265381,14,68
1990,Drought,1.29614304475,21,86
1990,Flood,5.112355333150001,37,86
1990,Earthquake,8.1251022155,28,86
1990,Extreme weather,171.16486804939998,45,86
1990,Extreme temperature,0.44679981484000003,14,86
1990,Volcanic activity,0.007860384253,4,86
1990,Wildfire,4.4738128129999994,7,86
1990,Glacial lake outburst flood,0.0,0,86
1990,Dry mass movement,0.0,3,86
1990,Wet mass movement,0.0,9,86
1991,Drought,4.0885775045,32,83
1991,Flood,9.57410775214,40,83
1991,Earthquake,1.5299838530600003,21,83
1991,Extreme weather,241.23228009772004,34,83
1991,Extreme temperature,0.0793416556,12,83
1991,Volcanic activity,0.473152979125,13,83
1991,Wildfire,5.458107105200001,12,83
1991,Glacial lake outburst flood,0.0,0,83
1991,Dry mass movement,0.0,5,83
